,DeepGaze-BAS_x,DeepGaze-BAS_y,DeepGaze-DIFF_x,DeepGaze-DIFF_y,ICF-BAS_x,ICF-BAS_y,ICF-DIFF_x,ICF-DIFF_y,IttyKoch-BAS_x,IttyKoch-BAS_y,IttyKoch-DIFF_x,IttyKoch-DIFF_y
66,33,12,51,31,11,35,10,63,36,33,0,36
67,33,12,53,17,11,35,22,63,36,33,0,38
68,33,12,55,17,11,35,60,0,36,33,0,37
69,33,12,50,30,11,35,12,36,36,33,0,35
70,33,12,45,19,11,35,21,63,36,32,54,0
71,33,12,54,17,11,35,23,63,39,31,56,0
72,33,12,56,17,11,35,56,0,36,34,0,43
73,33,12,45,19,11,35,33,51,37,33,54,0
74,33,12,45,19,11,35,22,63,37,32,53,0
75,33,12,50,31,11,35,31,16,40,31,0,39
76,33,12,50,31,11,35,13,36,39,31,0,39
77,33,12,51,31,11,35,35,39,38,32,22,63
78,33,12,51,31,11,35,33,40,36,34,60,0
79,33,12,46,19,11,35,34,39,39,31,14,63
80,33,13,51,31,11,35,33,41,37,32,27,63
81,33,13,51,30,11,35,33,47,37,33,33,22
82,56,18,51,31,11,35,32,49,37,33,54,0
83,56,18,52,31,11,35,22,63,37,33,60,0
84,56,18,46,19,11,35,12,35,37,33,56,0
85,56,18,56,17,11,35,60,0,37,33,58,0
86,34,13,52,31,11,35,23,63,37,33,33,49
87,34,13,56,19,11,35,21,63,36,34,0,32
88,34,13,56,18,12,35,8,35,38,32,79,18
89,34,13,52,31,12,35,23,63,37,34,34,21
90,56,18,52,31,12,35,23,63,37,34,44,63
91,57,18,57,18,12,35,25,63,37,34,58,0
92,34,13,52,31,12,35,58,0,38,33,67,0
93,34,13,52,31,12,35,23,63,38,32,0,29
94,57,18,21,59,12,35,12,63,37,32,0,46
95,57,18,52,31,12,35,12,63,37,33,0,31
96,57,18,52,32,12,34,12,63,37,33,79,18
97,57,18,52,31,12,34,23,63,37,33,79,14
98,57,18,34,12,12,34,11,63,36,34,19,13
99,34,12,52,31,12,34,14,35,36,34,79,16
100,34,12,34,12,12,34,10,37,37,33,57,0
101,57,18,52,30,12,34,58,0,37,33,51,0
102,57,18,58,17,12,34,9,38,37,33,79,16
103,56,17,13,38,12,34,8,38,37,33,49,46
104,56,17,52,31,12,34,10,35,36,33,34,48
105,34,12,51,30,12,34,12,63,37,32,33,47
106,57,18,52,30,11,35,12,63,37,33,25,12
107,56,17,52,31,12,35,12,63,37,33,52,29
108,57,18,52,30,12,35,24,63,37,33,0,30
109,57,18,57,18,12,35,12,63,37,32,79,14
110,57,18,59,17,12,35,23,63,37,33,0,32
111,57,18,23,59,12,35,24,63,37,33,0,38
112,57,17,34,12,12,35,11,63,37,33,0,31
113,34,13,56,19,12,35,13,35,36,33,79,17
114,57,18,47,19,12,35,11,63,37,33,0,29
115,57,18,56,18,12,35,10,33,37,33,24,63
116,34,12,20,59,12,35,12,63,37,33,0,29
117,34,13,22,59,12,35,12,63,37,33,32,21
118,34,13,57,18,12,35,58,0,37,33,32,49
119,34,13,34,12,12,35,58,0,37,33,50,0
120,57,18,34,13,12,35,14,34,37,33,79,17
121,57,18,56,17,12,35,32,52,37,33,23,63
122,57,18,35,12,12,35,15,35,37,33,61,0
123,57,18,55,17,12,35,24,63,37,33,37,63
124,57,18,57,17,12,35,60,0,36,34,58,0
125,57,18,56,18,12,35,10,37,37,33,59,0
126,57,18,33,13,12,35,57,0,36,33,60,0
127,56,18,54,18,12,35,11,38,36,34,52,0
128,56,18,56,17,12,35,11,38,36,33,34,48
129,56,18,34,14,11,36,29,35,36,32,32,23
130,34,13,46,19,11,36,56,0,36,32,64,0
131,34,13,34,12,11,36,13,63,36,32,34,48
132,56,18,56,18,11,36,59,0,36,33,28,63
133,56,18,34,12,12,35,11,37,36,33,27,63
134,34,13,56,19,12,35,24,63,36,33,55,0
135,34,13,56,18,12,35,35,50,37,33,23,63
136,56,18,55,18,12,35,9,40,38,33,25,63
137,56,18,33,14,12,35,24,63,37,33,24,63
138,56,18,34,14,12,35,11,63,36,33,22,63
139,56,18,57,17,12,35,24,63,36,33,20,63
140,56,18,55,18,12,35,24,63,37,33,23,63
141,56,17,20,59,12,35,24,63,36,33,23,63
142,56,17,46,19,12,35,25,63,36,33,24,63
143,56,17,55,17,12,35,24,63,37,33,23,63
144,56,17,56,19,12,35,26,63,36,33,58,0
145,56,17,34,13,12,35,12,33,36,33,24,63
146,56,17,57,17,12,35,16,63,36,33,24,63
147,56,17,56,17,12,35,11,38,36,33,24,63
148,56,17,56,18,13,34,35,49,37,33,23,63
149,56,17,47,18,13,34,26,63,36,33,53,0
150,56,18,34,12,13,34,13,38,36,33,40,63
151,56,18,21,59,13,34,12,39,36,33,56,0
152,56,18,56,17,12,35,12,39,37,33,23,63
153,56,18,34,13,12,36,28,36,37,33,22,63
154,57,18,52,30,12,36,30,35,37,33,23,63
155,56,18,34,14,12,36,29,36,37,33,24,63
156,34,14,52,31,12,36,31,35,37,33,24,63
157,34,13,52,31,12,36,60,0,37,33,59,0
158,34,13,56,18,12,36,12,39,37,34,57,0
159,34,13,51,30,13,35,60,0,37,34,20,63
160,56,18,57,17,59,0,60,0,37,33,54,0
161,34,14,51,30,59,0,60,0,37,33,24,63
162,34,14,22,60,60,0,60,0,37,33,23,63
163,34,14,57,18,13,35,59,0,37,33,23,63
164,34,14,34,14,13,35,60,0,37,33,34,63
165,34,14,34,15,13,35,56,19,37,32,17,63
166,34,14,56,19,13,35,58,19,37,33,17,63
167,34,14,56,19,13,35,57,19,37,33,34,8
168,34,14,52,31,13,35,57,0,36,34,47,30
169,34,14,52,31,13,35,59,0,36,34,36,42
170,34,14,58,19,13,35,24,63,37,33,44,63
171,34,14,52,32,13,35,13,63,35,33,31,23
172,34,14,57,19,13,35,61,0,36,33,33,22
173,34,14,52,31,13,36,13,63,36,33,31,23
174,34,14,52,32,13,36,25,63,36,33,53,29
175,34,14,52,33,13,36,24,63,37,33,33,21
176,34,14,52,32,13,36,13,63,37,34,34,20
177,34,14,21,59,13,36,58,0,37,33,25,15
178,34,14,52,31,13,36,62,1,36,33,53,19
179,34,14,48,20,13,36,25,63,37,33,31,50
180,34,14,52,32,13,36,58,0,37,33,34,49
181,34,15,52,32,13,36,24,63,37,33,52,29
182,34,15,56,17,13,36,15,63,37,33,53,0
183,34,15,56,19,13,36,13,63,37,32,58,0
184,34,14,52,31,13,36,25,63,37,32,63,0
185,34,14,56,18,13,36,59,0,37,33,56,20
186,34,14,52,32,13,36,24,63,37,33,44,63
187,34,14,55,18,13,36,24,63,37,33,44,63
188,55,18,34,15,13,36,13,63,37,33,37,42
189,55,18,55,18,13,36,59,1,38,32,56,20
190,34,14,34,15,13,36,13,63,37,33,54,0
191,34,14,56,19,13,36,24,63,37,32,51,0
192,56,19,34,15,13,36,28,35,37,32,51,0
193,56,19,54,18,13,36,58,1,37,32,13,63
194,56,19,55,18,13,36,58,0,37,32,47,0
195,56,19,52,31,13,36,24,63,37,33,52,0
196,34,14,34,15,13,36,57,0,37,33,52,0
197,34,15,54,18,13,36,24,63,38,32,49,0
198,34,15,56,19,13,36,13,63,37,33,33,49
199,34,15,34,13,13,36,13,63,37,33,79,24
200,34,14,34,15,12,36,59,0,37,33,23,63
201,34,14,34,12,12,36,59,0,37,33,34,49
202,34,14,33,15,12,36,59,0,37,33,66,0
203,34,14,34,15,59,0,12,63,37,33,25,63
204,34,14,22,61,59,0,60,0,37,33,27,12
205,34,14,22,59,59,0,59,0,37,33,24,63
206,34,14,56,17,12,35,58,0,37,33,60,0
207,34,14,56,17,12,35,13,63,37,33,22,63
208,34,14,34,14,12,35,13,62,37,33,22,63
209,34,14,51,31,12,35,13,63,37,33,33,48
210,34,14,46,19,13,35,12,63,38,32,22,63
211,34,14,56,18,13,35,12,63,37,33,36,63
212,34,14,51,31,13,35,58,0,37,33,35,63
213,34,14,35,13,13,35,59,0,37,33,20,63
214,34,14,51,30,12,35,13,63,37,33,22,63
215,34,14,52,30,13,35,13,63,37,33,23,63
216,34,13,56,18,12,35,58,0,37,33,22,63
217,56,18,51,30,12,35,59,0,38,33,23,63
218,34,13,51,30,12,35,15,63,37,33,22,63
219,34,13,51,30,12,35,29,63,37,33,32,63
220,34,13,51,30,12,35,14,36,37,33,34,63
221,34,13,46,19,12,35,11,34,37,33,58,0
222,34,13,51,31,12,35,24,63,37,33,59,0
223,34,13,51,30,12,35,15,63,37,33,33,63
224,34,13,53,17,12,35,15,63,37,33,0,28
225,34,13,51,30,12,35,58,0,37,33,24,63
226,34,13,51,30,12,35,15,63,37,33,20,63
227,34,13,55,18,12,35,15,63,37,33,42,62
228,34,13,46,20,12,35,56,0,36,34,23,63
229,34,13,46,19,12,35,23,63,36,34,33,49
230,34,13,55,18,12,35,13,36,37,33,33,63
231,34,13,35,13,12,35,24,63,37,33,25,63
232,34,13,34,14,12,35,25,63,37,33,0,43
233,34,12,55,17,12,34,58,0,36,33,0,29
234,56,18,33,15,12,34,28,32,37,33,0,38
235,56,17,34,12,12,34,23,63,37,33,35,63
236,34,12,51,31,12,34,8,35,37,33,18,63
237,34,12,34,12,12,34,21,63,37,33,16,63
238,34,12,34,14,12,34,12,32,36,33,16,63
239,34,12,34,12,12,34,19,63,37,33,16,63
240,34,12,32,16,12,34,13,35,36,33,16,63
241,34,12,34,12,12,34,12,32,36,33,22,63
242,34,12,34,12,12,34,56,0,36,33,21,63
243,34,12,34,12,12,34,59,0,36,33,19,63
244,34,12,51,30,12,34,56,0,36,33,17,63
245,34,12,34,11,12,34,19,63,36,33,16,63
246,34,12,51,29,12,34,16,63,17,63,13,63
247,34,12,34,12,12,34,55,0,37,33,16,63
248,34,12,34,10,12,33,56,0,36,33,17,63
249,34,11,51,29,12,33,57,0,37,32,19,63
250,34,11,51,29,12,33,23,63,36,32,43,63
251,34,11,19,57,12,33,57,0,36,32,50,0
252,34,11,21,57,12,33,31,32,36,32,12,63
253,34,11,51,29,12,33,30,33,36,32,21,63
254,34,11,33,12,12,33,31,33,36,32,16,63
255,34,11,51,29,12,33,31,34,36,32,21,63
256,34,11,51,29,12,33,31,32,36,32,20,63
257,34,11,34,12,12,33,30,34,36,32,21,63
258,34,11,27,40,12,33,29,36,36,33,19,63
259,34,11,34,10,12,33,16,63,36,33,15,63
260,34,12,34,12,12,34,57,0,36,33,20,63
261,34,12,34,10,12,34,56,0,37,33,56,0
262,34,12,34,12,12,34,58,0,37,33,22,63
263,55,17,57,18,12,34,22,63,36,33,23,63
264,56,17,21,56,12,34,61,0,37,33,21,63
265,56,17,56,17,12,34,57,0,37,33,22,63
266,56,18,24,58,12,34,13,32,37,33,22,63
267,56,18,24,59,12,34,15,59,37,33,58,0
268,24,58,24,58,12,34,13,35,37,33,17,63
269,56,18,24,59,12,35,56,0,37,33,59,0
270,34,13,33,13,13,34,11,35,37,33,17,63
271,56,18,22,58,13,34,33,54,37,33,23,63
272,56,18,23,59,13,34,59,0,37,33,59,0
273,56,18,24,58,13,34,22,63,37,33,21,63
274,56,17,52,30,13,34,23,63,37,33,18,63
275,56,17,20,59,13,34,23,63,37,33,16,63
276,56,17,23,58,13,34,58,0,37,33,17,63
277,56,17,34,13,13,34,23,63,37,33,17,63
278,56,17,33,19,13,34,34,54,37,33,18,63
279,56,18,34,14,13,34,21,63,37,33,18,63
280,56,18,22,58,13,34,23,63,37,33,19,63
281,56,18,34,14,13,34,58,0,37,33,21,63
282,56,18,34,13,12,35,57,0,37,33,33,63
283,34,13,33,17,12,35,56,0,37,33,39,63
284,34,13,34,12,12,35,21,63,37,33,20,63
285,34,13,34,14,12,35,23,63,37,33,21,63
286,34,13,34,13,13,34,17,63,37,33,22,63
287,34,13,51,30,13,34,60,0,37,33,19,63
288,56,18,50,29,12,35,56,0,36,33,22,63
289,55,18,56,18,12,35,23,63,20,63,23,63
290,56,18,51,30,12,35,23,63,19,63,22,63
291,56,18,51,29,12,35,22,63,18,63,19,63
292,55,18,56,18,12,35,20,63,37,33,23,63
293,56,18,51,30,12,35,17,63,36,33,21,63
294,56,18,50,29,12,35,33,54,36,33,18,63
295,55,18,21,58,12,35,34,48,37,33,19,63
296,55,18,55,18,12,35,58,0,37,33,17,63
297,55,18,51,30,12,35,59,0,36,33,16,63
298,56,18,55,18,12,35,32,52,37,33,36,33
299,55,18,56,17,12,35,24,63,17,63,21,63
300,55,18,34,13,12,35,58,0,17,63,22,63
301,34,13,55,17,12,35,59,0,18,63,22,63
302,34,13,46,19,12,35,59,0,20,63,46,0
303,34,13,24,58,12,35,59,0,19,63,66,0
304,34,13,23,58,12,35,58,0,18,63,26,63
305,23,58,24,58,58,0,59,0,18,63,41,31
306,34,14,51,30,59,0,57,0,18,63,18,63
307,34,14,51,30,59,0,59,0,37,33,25,63
308,34,14,33,16,13,35,58,0,37,33,18,63
309,34,14,34,14,13,35,58,0,37,32,24,63
310,34,14,51,30,13,35,60,3,37,33,23,63
311,34,14,51,30,13,35,11,37,37,33,0,30
312,34,14,20,57,13,35,58,0,37,33,51,0
313,34,15,52,31,13,35,55,16,37,33,52,0
314,34,14,51,31,13,35,57,17,37,33,52,0
315,34,14,51,32,13,35,58,0,37,33,53,0
316,34,14,22,58,13,35,57,0,37,33,53,0
317,34,14,21,58,13,35,57,0,53,0,51,0
318,21,58,21,58,13,35,0,38,37,33,53,0
319,34,14,21,58,13,35,17,63,37,33,53,0
320,34,14,20,58,13,35,0,37,37,33,22,63
321,34,14,52,31,13,35,14,37,37,34,25,63
322,34,14,52,31,13,35,58,1,37,34,35,63
323,34,15,35,12,13,35,58,0,37,34,35,63
324,34,14,34,15,13,35,59,0,37,34,35,63
325,34,14,56,19,13,35,0,37,37,34,55,0
326,34,14,34,15,13,35,58,0,37,34,35,63
327,34,14,52,30,13,35,60,0,37,33,19,63
328,35,13,52,30,13,35,60,0,37,33,19,63
329,35,13,52,30,13,35,58,0,37,33,21,63
330,35,13,56,18,13,35,24,63,37,33,22,63
331,35,13,52,30,13,35,60,0,37,33,25,63
332,35,13,52,30,13,35,60,0,37,33,19,63
333,35,13,52,30,60,0,29,33,37,33,19,63
334,52,30,23,58,60,0,28,34,38,33,19,63
335,52,30,21,59,60,0,29,33,37,33,22,63
336,52,30,52,30,60,0,30,35,37,33,22,63
337,52,30,52,30,60,0,59,0,37,33,19,63
338,52,30,52,30,60,0,60,0,38,33,19,63
339,52,30,34,14,60,0,25,63,37,34,25,63
340,52,30,35,12,60,0,62,0,37,34,26,63
341,52,30,52,30,60,0,59,0,37,34,52,0
342,52,30,52,30,60,0,60,0,37,34,25,63
343,52,30,52,30,60,0,58,0,37,34,27,63
344,52,30,52,30,60,0,61,0,37,33,55,0
345,52,30,52,29,60,0,60,0,37,33,34,25
346,52,30,52,30,13,35,61,0,37,33,33,51
347,52,30,52,30,13,35,60,0,38,33,20,63
348,34,13,53,30,13,35,61,0,37,33,66,0
349,34,13,34,14,13,35,60,0,37,33,21,63
350,34,13,34,12,13,35,0,37,37,33,21,63
351,34,13,52,30,13,35,60,0,37,33,19,63
352,34,13,35,14,13,35,32,32,38,33,17,63
353,34,12,34,12,13,34,32,32,37,33,43,63
354,34,13,52,30,13,34,31,33,37,33,34,30
355,52,30,58,17,13,34,31,35,37,33,20,63
356,52,30,35,13,13,34,33,35,37,33,24,63
357,52,30,52,30,13,34,32,36,37,33,20,63
358,56,17,52,30,13,34,32,39,37,33,52,0
359,56,17,52,29,13,34,33,36,37,33,54,0
360,56,17,57,17,13,34,32,37,37,33,53,0
361,56,17,52,30,13,34,31,34,37,33,32,37
362,57,17,34,11,13,34,33,47,37,33,17,63
363,57,17,52,30,13,34,58,0,37,33,31,41
364,56,17,34,12,13,34,29,33,37,33,16,63
365,56,17,20,58,13,34,15,59,37,33,17,63
366,34,12,23,58,13,34,15,59,37,33,16,63
367,56,17,24,58,13,34,26,55,37,33,16,63
368,34,12,34,12,13,34,22,63,37,33,22,63
369,56,17,57,17,13,34,29,53,37,33,22,63
370,56,17,33,17,13,34,59,0,37,33,22,63
371,56,17,34,12,13,34,21,63,37,33,23,63
372,34,13,34,10,13,34,18,63,37,33,22,63
373,34,12,52,30,12,34,33,16,37,33,17,63
374,34,12,35,11,13,33,35,49,37,33,15,63
375,34,12,52,30,12,34,23,63,37,33,22,63
376,34,12,34,12,12,34,57,0,36,33,17,63
377,34,12,51,28,12,34,21,63,36,33,17,63
378,34,12,51,29,12,34,29,32,37,33,23,63
379,56,17,52,30,12,34,59,0,37,32,16,63
380,56,17,34,11,12,34,16,60,37,33,15,63
381,34,12,34,12,13,33,15,59,37,32,15,63
382,34,12,19,57,12,33,15,59,36,33,16,63
383,34,12,52,32,12,33,52,32,37,32,52,32
